,height
1347,201.0
1348,193.0
1349,206.0
1350,196.0
1351,193.0
1352,206.0
1353,188.0
1354,203.0
1355,185.0
1356,193.0
1357,206.0
1358,188.0
1359,188.0
1360,190.0
1361,190.0
1362,203.0
1363,188.0
1364,203.0
1365,183.0
1366,201.0
1367,188.0
1368,206.0
1369,201.0
1370,206.0
1371,208.0
1372,198.0
1373,206.0
1374,185.0
1375,190.0
1376,208.0
1377,213.0
1378,190.0
1379,198.0
1380,211.0
1381,201.0
1382,206.0
1383,190.0
1384,206.0
1385,196.0
1386,206.0
1387,188.0
1388,201.0
1389,190.0
1390,203.0
1391,206.0
1392,196.0
1393,193.0
1394,201.0
1395,190.0
1396,208.0
1397,193.0
1398,196.0
1399,190.0
1400,193.0
1401,198.0
1402,190.0
1403,206.0
1404,201.0
1405,218.0
1406,185.0
1407,218.0
1408,190.0
1409,193.0
1410,201.0
1411,211.0
1412,193.0
1413,201.0
1414,201.0
1415,208.0
1416,203.0
1417,193.0
1418,211.0
1419,206.0
1420,208.0
1421,201.0
1422,198.0
1423,193.0
1424,193.0
1425,211.0
1426,213.0
1427,188.0
1428,190.0
1429,208.0
1430,185.0
1431,201.0
1432,201.0
1433,208.0
1434,198.0
1435,185.0
1436,185.0
1437,190.0
1438,185.0
1439,198.0
1440,201.0
1441,213.0
1442,203.0
1443,203.0
1444,198.0
1445,198.0
1446,185.0
1447,203.0
1448,196.0
1449,203.0
1450,185.0
1451,203.0
1452,201.0
1453,185.0
1454,203.0
1455,188.0
1456,201.0
1457,196.0
1458,190.0
1459,201.0
1460,203.0
1461,213.0
1462,201.0
1463,206.0
1464,198.0
1465,211.0
1466,196.0
1467,196.0
1468,198.0
1469,193.0
1470,213.0
1471,201.0
1472,198.0
1473,193.0
1474,198.0
1475,196.0
1476,208.0
1477,193.0
1478,196.0
1479,188.0
1480,206.0
1481,208.0
1482,208.0
1483,188.0
1484,203.0
1485,190.0
1486,188.0
1487,203.0
1488,185.0
1489,218.0
1490,183.0
1491,213.0
1492,198.0
1493,208.0
1494,185.0
1495,203.0
1496,198.0
1497,198.0
1498,193.0
1499,213.0
1500,198.0
1501,198.0
1502,201.0
1503,193.0
1504,206.0
1505,196.0
1506,196.0
1507,208.0
1508,208.0
1509,193.0
1510,201.0
1511,203.0
1512,208.0
1513,211.0
1514,206.0
1515,201.0
1516,185.0
1517,206.0
1518,198.0
1519,196.0
1520,185.0
1521,206.0
1522,201.0
1523,201.0
1524,203.0
1525,208.0
1526,201.0
1527,198.0
1528,201.0
1529,206.0
1530,206.0
1531,190.0
1532,190.0
1533,208.0
1534,183.0
1535,208.0
1536,193.0
1537,188.0
1538,206.0
1539,190.0
1540,224.0
1541,193.0
1542,196.0
1543,211.0
1544,203.0
1545,190.0
1546,208.0
1547,201.0
1548,208.0
1549,201.0
1550,188.0
1551,203.0
1552,211.0
1553,203.0
1554,201.0
1555,206.0
1556,190.0
1557,203.0
1558,206.0
1559,203.0
1560,211.0
1561,203.0
1562,201.0
1563,226.0
1564,206.0
1565,201.0
1566,193.0
1567,203.0
1568,196.0
1569,193.0
1570,196.0
1571,198.0
1572,208.0
1573,188.0
1574,196.0
1575,190.0
1576,196.0
1577,193.0
1578,196.0
1579,196.0
1580,201.0
1581,203.0
1582,208.0
1583,211.0
1584,201.0
1585,196.0
1586,196.0
1587,203.0
1588,201.0
1589,185.0
1590,190.0
1591,206.0
1592,216.0
1593,206.0
1594,211.0
1595,221.0
1596,213.0
1597,196.0
1598,193.0
1599,203.0
1600,208.0
1601,203.0
1602,201.0
1603,198.0
1604,201.0
1605,185.0
1606,203.0
1607,208.0
1608,190.0
1609,188.0
1610,198.0
1611,193.0
1612,206.0
1613,206.0
1614,206.0
1615,211.0
1616,208.0
1617,206.0
1618,183.0
1619,193.0
1620,201.0
1621,201.0
1622,206.0
1623,206.0
1624,208.0
1625,188.0
1626,203.0
1627,216.0
1628,203.0
1629,193.0
1630,208.0
1631,224.0
1632,190.0
1633,211.0
1634,188.0
1635,190.0
1636,190.0
1637,198.0
1638,188.0
1639,211.0
1640,193.0
1641,206.0
1642,208.0
1643,190.0
1644,193.0
1645,188.0
1646,193.0
1647,198.0
1648,211.0
1649,201.0
1650,206.0
1651,198.0
1652,198.0
1653,216.0
1654,206.0
1655,198.0
1656,188.0
1657,206.0
1658,201.0
1659,196.0
1660,206.0
1661,216.0
1662,190.0
1663,201.0
1664,203.0
1665,196.0
1666,196.0
1667,190.0
1668,190.0
1669,213.0
1670,193.0
1671,190.0
1672,188.0
1673,213.0
1674,211.0
1675,198.0
1676,201.0
1677,211.0
1678,206.0
1679,213.0
1680,206.0
1681,208.0
1682,206.0
1683,201.0
1684,190.0
1685,206.0
1686,211.0
1687,198.0
1688,196.0
1689,203.0
1690,193.0
1691,196.0
1692,185.0
1693,201.0
1694,198.0
1695,206.0
1696,206.0
1697,211.0
1698,190.0
1699,190.0
1700,208.0
1701,188.0
1702,188.0
1703,183.0
1704,190.0
1705,190.0
1706,201.0
1707,178.0
1708,188.0
1709,213.0
1710,216.0
1711,231.0
1712,213.0
1713,203.0
1714,201.0
1715,190.0
1716,203.0
1717,198.0
1718,213.0
1719,208.0
1720,190.0
1721,213.0
1722,203.0
1723,203.0
1724,203.0
1725,203.0
1726,203.0
1727,196.0
1728,211.0
1729,198.0
1730,198.0
1731,203.0
1732,211.0
1733,193.0
1734,211.0
1735,213.0
1736,208.0
1737,206.0
1738,201.0
1739,206.0
1740,198.0
1741,201.0
1742,203.0
1743,201.0
1744,190.0
1745,188.0
1746,198.0
1747,203.0
1748,193.0
1749,206.0
1750,190.0
1751,213.0
1752,203.0
1753,196.0
1754,206.0
1755,201.0
1756,213.0
1757,203.0
1758,208.0
1759,208.0
1760,206.0
1761,188.0
1762,216.0
1763,188.0
1764,168.0
1765,213.0
1766,198.0
1767,201.0
1768,203.0
1769,201.0
1770,203.0
1771,213.0
1772,203.0
1773,203.0
1774,201.0
1775,206.0
1776,206.0
1777,193.0
1778,213.0
1779,188.0
1780,190.0
1781,216.0
1782,213.0
1783,211.0
1784,203.0
1785,196.0
1786,198.0
1787,203.0
1788,193.0
1789,201.0
1790,190.0
1791,190.0
1792,201.0
1793,203.0
1794,198.0
1795,208.0
1796,206.0
1797,206.0
1798,208.0
1799,206.0
1800,198.0
1801,201.0
1802,196.0
1803,211.0
1804,198.0
1805,201.0
1806,188.0
1807,203.0
1808,196.0
1809,201.0
1810,183.0
1811,201.0
1812,208.0
1813,196.0
1814,211.0
1815,213.0
1816,196.0
1817,185.0
1818,198.0
1819,190.0
1820,196.0
1821,211.0
1822,201.0
1823,180.0
1824,203.0
1825,211.0
1826,188.0
1827,188.0
1828,196.0
1829,211.0
1830,196.0
1831,211.0
1832,188.0
1833,208.0
1834,206.0
1835,198.0
1836,193.0
1837,160.0
1838,203.0
1839,206.0
1840,201.0
1841,180.0
1842,188.0
1843,193.0
1844,208.0
1845,196.0
1846,188.0
1847,206.0
1848,208.0
1849,196.0
1850,211.0
1851,196.0
1852,178.0
1853,185.0
1854,201.0
1855,206.0
1856,203.0
1857,193.0
1858,198.0
1859,201.0
1860,211.0
1861,206.0
1862,201.0
1863,206.0
1864,213.0
1865,196.0
1866,206.0
1867,218.0
1868,203.0
1869,203.0
1870,211.0
1871,198.0
1872,203.0
1873,206.0
1874,190.0
1875,208.0
1876,180.0
1877,196.0
1878,193.0
1879,193.0
1880,213.0
1881,185.0
1882,203.0
1883,188.0
1884,201.0
1885,203.0
1886,196.0
1887,203.0
1888,211.0
1889,208.0
1890,203.0
1891,180.0
1892,201.0
1893,203.0
1894,198.0
1895,180.0
1896,206.0
1897,211.0
1898,208.0
1899,193.0
1900,201.0
1901,198.0
1902,198.0
1903,196.0
1904,196.0
1905,190.0
1906,203.0
1907,216.0
1908,201.0
1909,201.0
1910,190.0
1911,188.0
1912,213.0
1913,203.0
1914,198.0
1915,190.0
1916,203.0
1917,198.0
1918,196.0
1919,208.0
1920,190.0
1921,216.0
1922,178.0
1923,201.0
1924,206.0
1925,190.0
1926,201.0
1927,198.0
1928,211.0
1929,211.0
1930,180.0
1931,206.0
1932,203.0
1933,198.0
1934,208.0
1935,193.0
1936,201.0
1937,203.0
1938,190.0
1939,196.0
1940,208.0
1941,213.0
1942,206.0
1943,208.0
1944,188.0
1945,196.0
1946,208.0
1947,183.0
1948,196.0
1949,203.0
1950,211.0
1951,208.0
1952,211.0
1953,198.0
1954,185.0
1955,208.0
1956,224.0
1957,190.0
1958,188.0
1959,196.0
1960,211.0
1961,193.0
1962,201.0
1963,188.0
1964,193.0
1965,188.0
1966,206.0
1967,198.0
1968,201.0
1969,201.0
1970,180.0
1971,198.0
1972,201.0
1973,183.0
1974,201.0
1975,203.0
1976,198.0
1977,206.0
1978,198.0
1979,203.0
1980,198.0
1981,206.0
1982,185.0
1983,216.0
1984,183.0
1985,206.0
1986,193.0
1987,213.0
1988,203.0
1989,206.0
1990,203.0
1991,170.0
